UNIQUEID	MODERATED	OVERALL_QUAL	EFFECTIVE_QUAL	REASON_QUAL	COGENCY_QUAL	CLEANEDCOMMENT	annotator1	annotator2	annotator3	annotator4	averageannot
282.0_Electronic On-Board Recorders	True	3.8209662	2.8637059	2.755402	3.000795	As a provider of GPS fleet management solutions the advantages of such a system are obvious. While return on investment will vary considerably depending on how individuals / businesses utilize the data, ultimately the benefits are certainly there. My argument is not with the regulation, rather the implementation. Having implemented many GPS solutions over the last several years I am aware of the investment numerous small and medium size companies have made. I work with businesses to find the solution that meets their objectives so I am familiar with several solutions. For the most part, businesses invested in GPS to ensure efficient dispatching, monitoring activity, and provide accurate customer service. The objective was not regulatory compliance as it was not mandated at time of purchase. That now changes and in almost all cases my customers now have tracking devices that will become obsolete. Not in functionality, but in compliance. Where is their relief in the mandatory re-investment? Many have yet to reach ROI. As a new investment, I am not hearing much push back. However, for those that have recently invested in the technology but find their respective solution non-compliant is painful. It certainly provides transport data that satisfied their objectives at the time, but the providers did not intend for their market to be subject to regulations that require data that they are unable to capture. There should be some credit available to those businesses that already have tracking capabilities.	5	5	4	5	4.75
204.0_Electronic On-Board Recorders	True	3.7078981	3.0374699	2.950253	3.131631	"""The principal use of EOBR Electronic on-Board Recorder data is to confirm HOS Hours-of-service (HOS) compliance, whether at roadside checks or on-site carrier reviews."" FMCSA, DOT, NHTSA, NTSB, have all made claims that EOBR's will make the highways safer... I ask again how? Just by adding the mechanical device, even though the driver still has to manually add any change of duty status? This EOBR just sounds like an overly expensive record keeper - like a paper log is. What about this information? ATA announced that in an effort to rationalize a change in federal Hours of Service (HOS) requirements for professional truck drivers, the U.S. DOT's Federal Motor Carrier Safety Administration (FMCSA) misapplied its own crash numbers so as to elevate driver fatigue as a cause of truck crashes. Adding an EOBR will do nothing but add yet another cost to the trucker or trucking company.."	4	4	5	3	4.0
254.0_Electronic On-Board Recorders	True	3.5666196	3.0837774	3.033105	3.2885642	The FMCSA's own data and reports verify that EOBRS have nothing to do with improving safety. The manufacturers of these devices are the one's really pushing them - just follow the money trail. If any company wants to use EOBRs let them have at it, but to mandate such a device on a small operation will put that small operation at an even more cost disadvantage. People Net wants $1500 per device and $60 per month service fee. Small operations are already at a huge disadvantage with respect to fuel costs. We cannot come near the fuel discounts that the big boys get. EOBRS are a tool that should not be forced upon anybody unless they demonstrate that they cannot provide accurate and truthful logs and supporting documentation. Punish the offenders, but do not punish everyone!!	2	3	5	1	2.75
914.0_Airline Passenger Rights	True	3.804639	2.6964793	2.5895648	2.8961983	Let's keep in mind that a bumped passenger may miss a cruise ship departure, miss a connecting flight, lose a day (or sometimes more) of a prepaid vacation, or miss a wedding or funeral because the airline was greedy and didn't want even one empty seat on their flight. If being bumped from a flight caused additional problems for the bumped passenger(s) then the passenger(s) should be able to submit proof of loss and the airline should have to compensate WITHOUT LIMIT in addition to the proposed penalties. I also like the idea of pre notification of bumping. It can cost well over $100 to get to an airport (for example, central NJ to JFK is about $150 and for a long vacation this is cheaper than airport parking). When a passenger is bumped and the next available flight is the next day this can mean an additional $300+ in travel costs.	5	5	5	4	4.75
327.0_Electronic On-Board Recorders	True	3.4278784	2.9740193	2.84391	3.0861535	"This is not a ""safety requirement"". The FMCSA already monitors motor carriers by safestats, and either fines or shuts down companies not complying. This is an unconstitutional, behind your back move lobbied by manufacturers of EOBR to force everyone to buy one by using the federal government to back them. You want to see some wasted tax money? You are looking at it now. This new rule says that the folks that are now getting paid to monitor motor carriers are not doing their job. The rule should could be a requirement for motor carriers that have reached a threshold of Violations and have not corrected them. Not by making every owner operator purchase unnecessary equipment. We need to add some checks and balances to our Government."	1	1	3	1	1.5
1086.0_Airline Passenger Rights	True	3.743941	3.0241296	2.8966422	3.1562886	I thought the question wasn't about foreign carriers, but about international flights on all carriers. We must understand that other governments may not view these rules as being benign and could very well impose restrictions on US carriers. Beware the law of unforeseen consequences. The tarmac delay problem is not caused by airlines, and in particular foreign airlines. To submit them to significant operational or financial consequences because of something outside of their control doesn't seem appropriate. Lets not forget the tarmac delay problem is the fault of the FAA and airports, allowing over scheduling and not restricting slots. Eurocontrol (the FAA's equivalent) directs European airports to implement flow-control restrictions whenever an airport (or airspace) cannot provide it's expected capacity. When this happens airlines have to reduce their flights in proportion to the total number of slots they 'own' at that airport. In the US when 'stuff' happens it becomes the airlines problem and they have to sort it out themselves. (competition law prohibits them from discussing solutions with their competitors). Let's fix the problem, not the symptoms.	5	4	4	5	4.5
218.0_Electronic On-Board Recorders	True	3.3729956	2.9252656	2.8032231	3.0510416	If the government wants to enforce HOS, then they need to foot the bill. Why should we pay the cost for some alien device to be planted in our vehicle, at our expense, to be used against us as an enforcement tool? This is no more than Big Brother overstepping his sovereign authority. We did not place sovereignty in our government to merely penalize us for making a living, while they fatten their pockets from all of the public lobbyists groups. Fire/Layoff unneeded law enforcement, pay for these devices yourself. We already pay: for trucks, trailers, all maintenance, registration, authority, process agents, IFTA Stickers, UCR (another subject that erks me), 2290 Highway Road Use, Fuel Taxes, Ad Valorem Tax, fuel and supplement purchases, insurance, Drug Consortium, ungodly enforcement penalties (sometimes by crooked law enforcement that never even crawl under your vehicle, but charge you with brakes out of adjustment), forced to keep extensive records and documentation, income taxes (federal and state), self-employment tax, health physicals, cost of cash flow, and many other numerous things. And don't forget: We have been informed of the proposed 1099's that we must issue to EVERYONE that we do $600 in business with in a year. It takes so much time for all of that, that we really don't have time to drive now. Oh, I can see you desk jockeys now: let us create robo-trucks so that the real drivers can take care of the dirty work!	2	2	2	1	1.75
876.0_Airline Passenger Rights	True	3.7599494	2.2682366	2.1996822	2.5402155	I believe airlines should be forced to fully reimburse confirmed passengers whenever the airline changes flight schedules after booking. I frequently reserve flights up to one year in advance, in order to secure the lowest price and best seat. I do this even though the airline will charge me $150 (plus fare difference) to change my itinerary for personal reasons once booked. However, the airline frequently change flight schedules for confirmed passengers without compensation, nor consideration of passengers' plans. For example, a trip to Europe on United Airlines has now been changed 7 times by the airline since I confirmed my reservation in December 2009. The resulting changes have added nearly 5 hours to the total trip, plus I'm now required to leave at 3AM for the airport (instead of my original departure of 8AM), and I return after midnight, rather than a more reasonable 10:30PM. In addition, United Airlines has not offered to waive the change fee, nor provide seats on alternate dates or airline partners. If I'm required to pay exorbitant fees to the airlines to change my original itinerary, due to personal circumstances, then the airlines should also be required to compensate inconvenienced passengers in full AND provide satisfactory alternate travel arrangements comparable to the original flight schedule. Perhaps this would force the airlines to recognize the hardships they create for passengers when schedules are revised after passengers have already received confirmed flights and make related travel arrangements.	5	5	5	4	4.75
693.0_Airline Passenger Rights	True	3.2926352	2.9177275	2.7467341	3.0192184	"Weight is the excuse for charging a fee to improve revenue. In general the airlines average what a ""typical"" load of baggage and people weighs and how much that adds to the amount of fuel required for a flight. They do not weigh each aircraft prior to take off so you don't have any good numbers to back up the need for a fee for more bags or for heavier people. If you want to charge based on weight then everyone on a flight that is not full should get a refund since the airline is carrying far less weight if the plane is half full right? And how about if the majority of people on the flight are smaller than ""average""? Should they all get refunds as well? What if I only bring a light carry on and you check a 30 pound suitcase, should I get a discount or should you pay more? (I weigh 250 lbs) Or...should it all just be averaged out among all of the passengers like it is now? as for the disclosure...yes, airlines should disclose what it costs to take a flight with them and it should be easy to find, read and understand. After that it's up to the customer to actually find and read it before they pay for it."	3	4	5	3	3.75
334.0_Airline Passenger Rights	True	3.7744608	2.3887885	2.3099215	2.6281767	I do not think there should be a compensation cap. If a passenger is bumped from a flight and misses an important business meeting, high school graduation or wedding, there is no price that can compensate for that. Certainly not $1300. In addition, even if the entire flight fare is refunded (easily over $1300 on some long overseas flights), there are other costs that the bumped passenger could face such as non-refundable/prepaid hotel reservations or other travel and travel related expenses. If a passenger can prove that he or she has additional expense above and beyond what the airline offers and the government requires he or she should be awarded more compensation. As for zero-fare tickets, for the same reasons above, I do not think compensating them with just miles is adequate. Volunteering: I am happy to volunteer if there is some sort of compensation and I am not in a huge rush or too inconvenienced. I was especially happy to do so when a group of 50+ school students needed to get onboard together to fly from London to Dallas but the airline messed up. Volunteer opportunities and compensation should be posted/announced when one checks in (online, at terminal, etc.) and continue to be posted and announced for all to see/hear until the last minute and the airline has to bump involuntarily.	5	5	5	4	4.75
